sample,group
B11,B11
B14,B14
B20,B20
B31,B31
B6,B6
C32,C32
L12,L12
L18,L18
L20,L20
L26,L26
L30,L30
L37,L37
R1,R1
R15,R15
R25,R25
R31,R31
R36,R36
R39,R39
S17,S17
S19,S19
S26,S26
S32,S32
S36,S36
S38,S38
S40,S40
X18,X18
X7,X7
B10,B10
B12,B12
B27,B27
B3,B3
B35,B35
B36,B36
B5,B5
C20,C20
C23,C23
C24,C24
C9,C9
L1,L1
L11,L11
L13,L13
L14,L14
L15,L15
L16,L16
L19,L19
L2,L2
L21,L21
L25,L25
L29,L29
L3,L3
L31,L31
L4,L4
L7,L7
L9,L9
R11,R11
R13,R13
R14,R14
R17,R17
R2,R2
R22,R22
R23,R23
R28,R28
R30,R30
R41,R41
R6,R6
R7,R7
R8,R8
R9,R9
S10,S10
S12,S12
S14,S14
S21,S21
S27,S27
S28,S28
S33,S33
S41,S41
S5,S5
W41,W41
X1,X1
X12,X12
X2,X2
X4,X4
X5,X5
B23,B23
B4,B4
B8,B8
L24,L24
L36,L36
L5,L5
R18,R18
R32,R32
S2,S2
S23,S23
S42,S42
W14,W14
W31,W31
