task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
47	57/8aecd4	2183246	FASTQC_RAW (X18_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.923	18m 48s	18m 48s	90.7%	734.1 MB	4.3 GB	14.8 GB	3.2 MB
34	34/98cb4e	2407864	FASTQ_SCREEN (S40_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:24:02.147	12m 50s	12m 50s	188.3%	495.8 MB	2.1 GB	153.8 GB	91.7 GB
10	0d/f7b48e	2701909	FASTP_CLEAN (B20_FASTP_CLEAN)	CACHED	0	2025-11-04 10:57:19.596	9m 6s	9m 6s	694.1%	1.4 GB	2.7 GB	16.6 GB	15.8 GB
38	97/8d1714	2183261	FASTQC_RAW (L12_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.933	16m 13s	16m 13s	91.8%	825.9 MB	4.3 GB	13.2 GB	3.2 MB
5	30/cb8c3e	2401301	FASTQ_SCREEN (B14_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:23:14.613	10m 9s	10m 9s	193.9%	3.2 GB	4.8 GB	127.1 GB	72.2 GB
36	5d/50ce05	2553526	FASTQ_SCREEN (X18_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:36:37.063	13m 37s	13m 37s	177.6%	3.3 GB	5.2 GB	144.5 GB	85.2 GB
2	eb/d45e96	2199814	SAMTOOLS_FAIDX (samtools faidx Lsat_Salinas_v11.genome)	CACHED	0	2025-11-04 10:07:44.636	19.4s	19.2s	42.3%	4.7 MB	13.6 MB	2.5 GB	620 B
21	d9/e8fd1c	2697620	FASTP_CLEAN (S32_FASTP_CLEAN)	CACHED	0	2025-11-04 10:56:31.951	5m 57s	5m 57s	754.0%	1.4 GB	2.7 GB	12.2 GB	11.6 GB
11	28/35c683	2183198	FASTQC_RAW (B20_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.879	17m 58s	17m 58s	100.4%	743 MB	4.3 GB	16.6 GB	3.2 MB
44	55/848546	2183239	FASTQC_RAW (S36_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.919	17m 4s	17m 4s	93.6%	799.9 MB	4.3 GB	13.6 GB	3.2 MB
23	56/536b0b	2662653	FASTP_CLEAN (R15_FASTP_CLEAN)	CACHED	0	2025-11-04 10:49:04.227	8m 15s	8m 15s	701.1%	1.4 GB	2.7 GB	15.7 GB	14.9 GB
42	b5/482e41	2183291	FASTQC_RAW (R1_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.943	14m 33s	14m 33s	94.8%	731.3 MB	4.3 GB	12.3 GB	3.2 MB
31	bb/9dba33	2398257	FASTQ_SCREEN (R1_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:22:56.970	9m 31s	9m 31s	203.7%	1.3 GB	2 GB	125.4 GB	71.1 GB
14	a4/2d717f	2412413	FASTQ_SCREEN (C32_FASTQ_SCREEN)	CACHED	0	2025-11-04 10:24:21.833	12m 15s	12m 15s	190.7%	2.6 GB	3 GB	149.8 GB	89.1 GB
24	ef/be8847	2628464	FASTP_CLEAN (S36_FASTP_CLEAN)	CACHED	0	2025-11-04 10:43:33.542	5m 31s	5m 31s	831.1%	1.4 GB	2.7 GB	13.6 GB	12.9 GB
25	43/f549e9	2668195	FASTP_CLEAN (S40_FASTP_CLEAN)	CACHED	0	2025-11-04 10:50:03.791	8m 1s	8m	750.9%	1.4 GB	2.7 GB	16.1 GB	15.3 GB
45	d1/9329e4	2183303	FASTQC_RAW (S40_RAW_FASTQC)	CACHED	0	2025-11-04 10:07:23.948	20m 11s	20m 11s	91.2%	742.3 MB	4.3 GB	16.1 GB	3.2 MB
1	2e/41ceea	2199809	BWA_INDEX (Lsat_Salinas_v11.genome.fasta_bwa-mem2_index)	CACHED	0	2025-11-04 10:07:44.626	29m 28s	29m 28s	99.5%	57.9 GB	60.6 GB	3.1 GB	13.3 GB
22	21/653f4c	2629891	FASTP_CLEAN (R1_FASTP_CLEAN)	CACHED	0	2025-11-04 10:43:41.403	4m 58s	4m 58s	837.9%	1.4 GB	2.7 GB	12.3 GB	11.7 GB
26	ed/54966c	2660693	FASTP_CLEAN (R36_FASTP_CLEAN)	CACHED	0	2025-11-04 10:48:39.295	7m 15s	7m 15s	763.1%	1.4 GB	2.7 GB	15.5 GB	14.7 GB
